run,solver,seed,alpha_star,AP_count,MP_count,pairs_selected,best_acc_m,time_s,tts_99_ms,p_s
19,Greedy,19,,5,5,21,2.89678379984278,0.0,,
20,Greedy,20,,5,5,21,2.89678379984278,0.0,,
21,Greedy,21,,5,5,21,2.89678379984278,0.0,,
22,Greedy,22,,5,5,21,2.89678379984278,0.0,,
23,Greedy,23,,5,5,21,2.89678379984278,0.0,,
24,Greedy,24,,5,5,21,2.89678379984278,0.0,,
25,Greedy,25,,5,5,21,2.89678379984278,0.0,,
26,Greedy,26,,5,5,21,2.89678379984278,0.0,,
27,Greedy,27,,5,5,21,2.89678379984278,0.0,,
28,Greedy,28,,5,5,21,2.89678379984278,0.0,,
29,Greedy,29,,5,5,21,2.89678379984278,0.0,,
30,Greedy,30,,5,5,21,2.89678379984278,0.0,,
31,Greedy,31,,5,5,21,2.89678379984278,0.0,,
32,Greedy,32,,5,5,21,2.89678379984278,0.0,,
33,Greedy,33,,5,5,21,2.89678379984278,0.0,,
34,Greedy,34,,5,5,21,2.89678379984278,0.0,,
35,Greedy,35,,5,5,21,2.89678379984278,0.0,,
36,Greedy,36,,5,5,21,2.89678379984278,0.0,,
37,Greedy,37,,5,5,21,2.89678379984278,0.0,,
38,Greedy,38,,5,5,21,2.89678379984278,0.0,,
39,Greedy,39,,5,5,21,2.89678379984278,0.0,,
40,Greedy,40,,5,5,21,2.89678379984278,0.0,,
41,Greedy,41,,5,5,21,2.89678379984278,0.0,,
42,Greedy,42,,5,5,21,2.89678379984278,0.0,,
43,Greedy,43,,5,5,21,2.89678379984278,0.0,,
44,Greedy,44,,5,5,21,2.89678379984278,0.0,,
45,Greedy,45,,5,5,21,2.89678379984278,0.0,,
46,Greedy,46,,5,5,21,2.89678379984278,0.0,,
47,Greedy,47,,5,5,21,2.89678379984278,0.0,,
48,Greedy,48,,5,5,21,2.89678379984278,0.0,,
49,Greedy,49,,5,5,21,2.89678379984278,0.0,,
50,Greedy,50,,5,5,21,2.89678379984278,0.0,,
51,Greedy,51,,5,5,21,2.89678379984278,0.0,,
52,Greedy,52,,5,5,21,2.89678379984278,0.0,,
53,Greedy,53,,5,5,21,2.89678379984278,0.0,,
54,Greedy,54,,5,5,21,2.89678379984278,0.0,,
55,Greedy,55,,5,5,21,2.89678379984278,0.0,,
56,Greedy,56,,5,5,21,2.89678379984278,0.0,,
57,Greedy,57,,5,5,21,2.89678379984278,0.0,,
58,Greedy,58,,5,5,21,2.89678379984278,0.0,,
59,Greedy,59,,5,5,21,2.89678379984278,0.0,,
60,Greedy,60,,5,5,21,2.89678379984278,0.0,,
61,Greedy,61,,5,5,21,2.89678379984278,0.0,,
62,Greedy,62,,5,5,21,2.89678379984278,0.0,,
63,Greedy,63,,5,5,21,2.89678379984278,0.0,,
64,Greedy,64,,5,5,21,2.89678379984278,0.0,,
65,Greedy,65,,5,5,21,2.89678379984278,0.0,,
66,Greedy,66,,5,5,21,2.89678379984278,0.0,,
67,Greedy,67,,5,5,21,2.89678379984278,0.0,,
68,Greedy,68,,5,5,21,2.89678379984278,0.0,,
69,Greedy,69,,5,5,21,2.89678379984278,0.0,,
70,Greedy,70,,5,5,21,2.89678379984278,0.0,,
71,Greedy,71,,5,5,21,2.89678379984278,0.0,,
72,Greedy,72,,5,5,21,2.89678379984278,0.0,,
73,Greedy,73,,5,5,21,2.89678379984278,0.0,,
74,Greedy,74,,5,5,21,2.89678379984278,0.0,,
75,Greedy,75,,5,5,21,2.89678379984278,0.0,,
76,Greedy,76,,5,5,21,2.89678379984278,0.0,,
77,Greedy,77,,5,5,21,2.89678379984278,0.0,,
78,Greedy,78,,5,5,21,2.89678379984278,0.0,,
79,Greedy,79,,5,5,21,2.89678379984278,0.0,,
80,Greedy,80,,5,5,21,2.89678379984278,0.0,,
81,Greedy,81,,5,5,21,2.89678379984278,0.0,,
82,Greedy,82,,5,5,21,2.89678379984278,0.0,,
83,Greedy,83,,5,5,21,2.89678379984278,0.0,,
84,Greedy,84,,5,5,21,2.89678379984278,0.0,,
85,Greedy,85,,5,5,21,2.89678379984278,0.0,,
86,Greedy,86,,5,5,21,2.89678379984278,0.0,,
87,Greedy,87,,5,5,21,2.89678379984278,0.0,,
88,Greedy,88,,5,5,21,2.89678379984278,0.0,,
89,Greedy,89,,5,5,21,2.89678379984278,0.0,,
90,Greedy,90,,5,5,21,2.89678379984278,0.0,,
91,Greedy,91,,5,5,21,2.89678379984278,0.0,,
92,Greedy,92,,5,5,21,2.89678379984278,0.0,,
93,Greedy,93,,5,5,21,2.89678379984278,0.0,,
94,Greedy,94,,5,5,21,2.89678379984278,0.0,,
95,Greedy,95,,5,5,21,2.89678379984278,0.0,,
96,Greedy,96,,5,5,21,2.89678379984278,0.0,,
97,Greedy,97,,5,5,21,2.89678379984278,0.0,,
98,Greedy,98,,5,5,21,2.89678379984278,0.0,,
99,Greedy,99,,5,5,21,2.89678379984278,0.0,,
